name,crossing_number,strands,braid_word,jones_q,raw_braid_notation,raw_jones_t,comparable
12n_810,12,5,"[-1, 2, -3, 4, -1, -2, 4, 3, -2, 3, 3, -4, 3, -4]",q**(-5)-3*q**(-4)+ 6*q**(-3)-8*q**(-2)+ 9*q**(-1)-9+ 8*q-6*q**2+ 4*q**3-q**4,"[-1,2,-3,4,-1,-2,4,3,-2,3,3,-4,3,-4]",t^(-5)-3*t^(-4)+ 6*t^(-3)-8*t^(-2)+ 9*t^(-1)-9+ 8*t-6*t^2+ 4*t^3-t^4,true
12n_811,12,4,"[-1, 2, 1, -2, 3, -2, 1, 3, 2, -3, 2, 3, 3]",-2+ 6*q-8*q**2+ 11*q**3-11*q**4+ 10*q**5-8*q**6+ 5*q**7-2*q**8,"[-1,2,1,-2,3,-2,1,3,2,-3,2,3,3]",-2+ 6*t-8*t^2+ 11*t^3-11*t^4+ 10*t^5-8*t^6+ 5*t^7-2*t^8,true
12n_812,12,4,"[-1, -2, 1, -2, 3, -2, -1, 3, 2, -3, 2, 3, 3]",-q**(-4)+ 2*q**(-3)-2*q**(-2)+ q**(-1)+ 1-q+ 3*q**2-3*q**3+ 3*q**4-3*q**5+ q**6,"[-1,-2,1,-2,3,-2,-1,3,2,-3,2,3,3]",-t^(-4)+ 2*t^(-3)-2*t^(-2)+ t^(-1)+ 1-t+ 3*t^2-3*t^3+ 3*t^4-3*t^5+ t^6,true
12n_813,12,5,"[-1, 2, -3, 4, -1, -2, 4, -2, 3, -2, 3, -4, 3, -4]",-q**(-7)+ 3*q**(-6)-7*q**(-5)+ 11*q**(-4)-12*q**(-3)+ 14*q**(-2)-13*q**(-1)+ 10-7*q+ 3*q**2,"[-1,2,-3,4,-1,-2,4,-2,3,-2,3,-4,3,-4]",-t^(-7)+ 3*t^(-6)-7*t^(-5)+ 11*t^(-4)-12*t^(-3)+ 14*t^(-2)-13*t^(-1)+ 10-7*t+ 3*t^2,true
12n_814,12,5,"[1, 2, 3, 3, 4, 2, -3, -1, 4, 3, -1, 2, -3, 2, -3, 4]",4*q-8*q**2+ 12*q**3-15*q**4+ 16*q**5-15*q**6+ 12*q**7-8*q**8+ 4*q**9-q**10,"[1,2,3,3,4,2,-3,-1,4,3,-1,2,-3,2,-3,4]",4*t-8*t^2+ 12*t^3-15*t^4+ 16*t^5-15*t^6+ 12*t^7-8*t^8+ 4*t^9-t^10,true
12n_815,12,4,"[-1, 2, -3, -2, 3, 1, 1, 2, -3, 2, -1, 2, -3]",-q**(-4)+ 3*q**(-3)-3*q**(-2)+ 3*q**(-1)-2+ q-q**3+ 2*q**4-2*q**5+ q**6,"[-1,2,-3,-2,3,1,1,2,-3,2,-1,2,-3]",-t^(-4)+ 3*t^(-3)-3*t^(-2)+ 3*t^(-1)-2+ t-t^3+ 2*t^4-2*t^5+ t^6,true
12n_816,12,5,"[-1, 2, -3, -4, -1, 3, 3, -2, -2, 3, -4, 3, -2, 3]",-q**(-7)+ 4*q**(-6)-9*q**(-5)+ 14*q**(-4)-17*q**(-3)+ 19*q**(-2)-18*q**(-1)+ 15-10*q+ 5*q**2-q**3,"[-1,2,-3,-4,-1,3,3,-2,-2,3,-4,3,-2,3]",-t^(-7)+ 4*t^(-6)-9*t^(-5)+ 14*t^(-4)-17*t^(-3)+ 19*t^(-2)-18*t^(-1)+ 15-10*t+ 5*t^2-t^3,true
12n_817,12,4,"[-1, 2, 3, -1, 3, 2, -3, -3, -3, -3, 2, 2, 3]",q**(-4)-2*q**(-3)+ 4*q**(-2)-6*q**(-1)+ 8-8*q+ 7*q**2-6*q**3+ 4*q**4-2*q**5+ q**6,"[-1,2,3,-1,3,2,-3,-3,-3,-3,2,2,3]",t^(-4)-2*t^(-3)+ 4*t^(-2)-6*t^(-1)+ 8-8*t+ 7*t^2-6*t^3+ 4*t^4-2*t^5+ t^6,true
12n_818,12,5,"[-1, 2, -1, -2, 3, -4, 2, 2, 3, -4, -3, 2, 2, 3]",2*q**(-3)-4*q**(-2)+ 8*q**(-1)-12+ 14*q-15*q**2+ 14*q**3-11*q**4+ 7*q**5-3*q**6+ q**7,"[-1,2,-1,-2,3,-4,2,2,3,-4,-3,2,2,3]",2*t^(-3)-4*t^(-2)+ 8*t^(-1)-12+ 14*t-15*t^2+ 14*t^3-11*t^4+ 7*t^5-3*t^6+ t^7,true
12n_819,12,4,"[1, 1, -2, 1, 3, 2, -1, 2, 1, -3, 1, -3, -2]",-2*q**(-2)+ 6*q**(-1)-10+ 15*q-17*q**2+ 18*q**3-16*q**4+ 12*q**5-7*q**6+ 3*q**7-q**8,"[1,1,-2,1,3,2,-1,2,1,-3,1,-3,-2]",-2*t^(-2)+ 6*t^(-1)-10+ 15*t-17*t^2+ 18*t^3-16*t^4+ 12*t^5-7*t^6+ 3*t^7-t^8,true
12n_82,12,5,"[-1, -3, 4, 3, 3, -2, 4, -2, 4, -3, -3, -2, -1, 2]",-q**(-7)+ q**(-6)-2*q**(-4)+ 4*q**(-3)-5*q**(-2)+ 7*q**(-1)-6+ 6*q-4*q**2+ 2*q**3-q**4,"[-1,-3,4,3,3,-2,4,-2,4,-3,-3,-2,-1,2]",-t^(-7)+ t^(-6)-2*t^(-4)+ 4*t^(-3)-5*t^(-2)+ 7*t^(-1)-6+ 6*t-4*t^2+ 2*t^3-t^4,true
12n_820,12,3,"[1, -2, -2, -1, -1, 2, -1, -1, -2, -2, -2, -2]",q**(-13)-4*q**(-12)+ 7*q**(-11)-11*q**(-10)+ 14*q**(-9)-15*q**(-8)+ 14*q**(-7)-11*q**(-6)+ 8*q**(-5)-4*q**(-4)+ 2*q**(-3),"[1,-2,-2,-1,-1,2,-1,-1,-2,-2,-2,-2]",t^(-13)-4*t^(-12)+ 7*t^(-11)-11*t^(-10)+ 14*t^(-9)-15*t^(-8)+ 14*t^(-7)-11*t^(-6)+ 8*t^(-5)-4*t^(-4)+ 2*t^(-3),true
